date,currency_pair,close_price
2002-10-16,DKKUSD,7.564
2002-10-16,EURUSD,1.0179
2002-10-16,GBPUSD,0.6434
2002-10-16,HKDUSD,7.7994
2002-10-16,INRUSD,48.41
2002-10-16,JPYUSD,124.3
2002-10-16,KRWUSD,1246.9
2002-10-16,LKRUSD,96.4
2002-10-16,MXNUSD,10.07
2002-10-16,MYRUSD,3.8
2002-10-16,NOKUSD,7.467
2002-10-16,NZDUSD,2.0799
2002-10-16,SEKUSD,9.242
2002-10-16,SGDUSD,1.789
2002-10-16,THBUSD,43.83
2002-10-16,TWDUSD,34.96
2002-10-16,ZARUSD,10.412
2002-10-17,AUDUSD,1.8182
2002-10-17,BRLUSD,3.88
2002-10-17,CADUSD,1.5725
2002-10-17,CHFUSD,1.5119
2002-10-17,CNYUSD,8.2768
2002-10-17,DKKUSD,7.645
2002-10-17,EURUSD,1.029
2002-10-17,GBPUSD,0.6441
2002-10-17,HKDUSD,7.7993
2002-10-17,INRUSD,48.42
2002-10-17,JPYUSD,124.8
2002-10-17,KRWUSD,1249.0
2002-10-17,LKRUSD,96.4
2002-10-17,MXNUSD,10.0
2002-10-17,MYRUSD,3.8
2002-10-17,NOKUSD,7.645
2002-10-17,NZDUSD,2.0781
2002-10-17,SEKUSD,9.3825
2002-10-17,SGDUSD,1.785
2002-10-17,THBUSD,43.68
2002-10-17,TWDUSD,34.85
2002-10-17,ZARUSD,10.3
2002-10-18,AUDUSD,1.8188
2002-10-18,BRLUSD,3.88
2002-10-18,CADUSD,1.5723
2002-10-18,CHFUSD,1.514
2002-10-18,CNYUSD,8.2768
2002-10-18,DKKUSD,7.654
2002-10-18,EURUSD,1.0301
2002-10-18,GBPUSD,0.6468
2002-10-18,HKDUSD,7.7991
2002-10-18,INRUSD,48.44
2002-10-18,JPYUSD,125.52
2002-10-18,KRWUSD,1244.0
2002-10-18,LKRUSD,96.4
2002-10-18,MXNUSD,9.99
2002-10-18,MYRUSD,3.8
2002-10-18,NOKUSD,7.6275
2002-10-18,NZDUSD,2.0786
2002-10-18,SEKUSD,9.384
2002-10-18,SGDUSD,1.7913
2002-10-18,THBUSD,43.8
2002-10-18,TWDUSD,34.91
2002-10-18,ZARUSD,10.38
2002-10-21,AUDUSD,1.8083
2002-10-21,BRLUSD,3.913
2002-10-21,CADUSD,1.5682
2002-10-21,CHFUSD,1.511
2002-10-21,CNYUSD,8.2769
2002-10-21,DKKUSD,7.637
2002-10-21,EURUSD,1.0275
2002-10-21,GBPUSD,0.6486
2002-10-21,HKDUSD,7.799
2002-10-21,INRUSD,48.38
2002-10-21,JPYUSD,124.71
2002-10-21,KRWUSD,1240.0
2002-10-21,LKRUSD,96.4
2002-10-21,MXNUSD,9.947
2002-10-21,MYRUSD,3.8
2002-10-21,NOKUSD,7.593
2002-10-21,NZDUSD,2.0674
2002-10-21,SEKUSD,9.335
2002-10-21,SGDUSD,1.7834
2002-10-21,THBUSD,43.6
2002-10-21,TWDUSD,34.9
2002-10-21,ZARUSD,10.22
2002-10-22,AUDUSD,1.8093
2002-10-22,BRLUSD,3.931
2002-10-22,CADUSD,1.568
2002-10-22,CHFUSD,1.5015
2002-10-22,CNYUSD,8.2771
2002-10-22,DKKUSD,7.5955
2002-10-22,EURUSD,1.0223
2002-10-22,GBPUSD,0.6467
2002-10-22,HKDUSD,7.7991
2002-10-22,INRUSD,48.39
2002-10-22,JPYUSD,125.09
2002-10-22,KRWUSD,1250.0
2002-10-22,LKRUSD,96.4
2002-10-22,MXNUSD,9.9785
2002-10-22,MYRUSD,3.8
2002-10-22,NOKUSD,7.585
2002-10-22,NZDUSD,2.0631
2002-10-22,SEKUSD,9.3445
2002-10-22,SGDUSD,1.7829
2002-10-22,THBUSD,43.65
2002-10-22,TWDUSD,34.92
2002-10-22,ZARUSD,10.18
2002-10-23,AUDUSD,1.8096
2002-10-23,BRLUSD,3.901
2002-10-23,CADUSD,1.5685
2002-10-23,CHFUSD,1.5004
2002-10-23,CNYUSD,8.277
2002-10-23,DKKUSD,7.603
2002-10-23,EURUSD,1.0233
2002-10-23,GBPUSD,0.6452
2002-10-23,HKDUSD,7.7992
2002-10-23,INRUSD,48.35
2002-10-23,JPYUSD,124.17
2002-10-23,KRWUSD,1231.9
2002-10-23,LKRUSD,96.4
2002-10-23,MXNUSD,10.017
2002-10-23,MYRUSD,3.8
2002-10-23,NOKUSD,7.566
2002-10-23,NZDUSD,2.0657
2002-10-23,SEKUSD,9.385
2002-10-23,SGDUSD,1.7797
2002-10-23,THBUSD,43.63
2002-10-23,TWDUSD,34.86
2002-10-23,ZARUSD,10.217
2002-10-24,AUDUSD,1.8018
2002-10-24,BRLUSD,3.857
2002-10-24,CADUSD,1.561
2002-10-24,CHFUSD,1.5062
2002-10-24,CNYUSD,8.2771
2002-10-24,DKKUSD,7.627
2002-10-24,EURUSD,1.0265
2002-10-24,GBPUSD,0.6461
2002-10-24,HKDUSD,7.7991
2002-10-24,INRUSD,48.42
2002-10-24,JPYUSD,124.77
2002-10-24,KRWUSD,1231.9
2002-10-24,LKRUSD,96.4
2002-10-24,MXNUSD,9.947
2002-10-24,MYRUSD,3.8
2002-10-24,NOKUSD,7.575
2002-10-24,NZDUSD,2.0589
2002-10-24,SEKUSD,9.37
2002-10-24,SGDUSD,1.784
2002-10-24,THBUSD,43.58
2002-10-24,TWDUSD,34.8
2002-10-24,ZARUSD,10.13
2002-10-25,AUDUSD,1.8034
2002-10-25,BRLUSD,3.786
2002-10-25,CADUSD,1.5676
2002-10-25,CHFUSD,1.5014
2002-10-25,CNYUSD,8.2773
2002-10-25,DKKUSD,7.611
2002-10-25,EURUSD,1.0239
2002-10-25,GBPUSD,0.6438
2002-10-25,HKDUSD,7.7992
2002-10-25,INRUSD,48.41
2002-10-25,JPYUSD,124.14
2002-10-25,KRWUSD,1231.6
2002-10-25,LKRUSD,96.4
2002-10-25,MXNUSD,9.975
2002-10-25,MYRUSD,3.8
2002-10-25,NOKUSD,7.541
2002-10-25,NZDUSD,2.0542
2002-10-25,SEKUSD,9.3405
2002-10-25,SGDUSD,1.775
2002-10-25,THBUSD,43.44
2002-10-25,TWDUSD,34.8
2002-10-25,ZARUSD,10.12
2002-10-28,AUDUSD,1.7905
2002-10-28,BRLUSD,3.751
2002-10-28,CADUSD,1.5607
2002-10-28,CHFUSD,1.4882
2002-10-28,CNYUSD,8.2774
2002-10-28,DKKUSD,7.551
2002-10-28,EURUSD,1.016
2002-10-28,GBPUSD,0.6409
2002-10-28,HKDUSD,7.799
2002-10-28,INRUSD,48.45
2002-10-28,JPYUSD,123.64
2002-10-28,KRWUSD,1233.5
2002-10-28,LKRUSD,96.4
2002-10-28,MXNUSD,10.014
2002-10-28,MYRUSD,3.8
2002-10-28,NOKUSD,7.5035
2002-10-28,NZDUSD,2.0437
2002-10-28,SEKUSD,9.242
2002-10-28,SGDUSD,1.7766
2002-10-28,THBUSD,43.43
2002-10-28,TWDUSD,34.89
2002-10-28,ZARUSD,10.0575
2002-10-29,AUDUSD,1.7982
2002-10-29,BRLUSD,3.835
2002-10-29,CADUSD,1.5632
2002-10-29,CHFUSD,1.487
2002-10-29,CNYUSD,8.2773
